0	1	Sentiment
i believe you are who you say you are	NOT	POS
this is not lisa she is in the front row and skinnier	NOT	POS
gun control has no correlation to homicide rates london guns are illegal has a higher murder rate than new york guns are legal read this	NOT	NEG
a proven record of failure so why not	NOT	NEG
true to curtin	NOT	POS
this is how we get tamir rice lets assume all children are armed and use maximum force because of a mere suspicion a better idea would be common sense gun control and not assuming an  year old can win a knife or fist fight with a trained cop	NOT	POS
im waiting for the snowflake conservatives to become transparent in the scotus process	NOT	POS
he didnt break shitall he did was make himself look more foolish than normal	NOT	NEG
using free speech to be idiots and such but just like other rallies counter protesters showed up armed and willing to engage with kkk who also came armed again  wrongs dont make a right and groups like antifa stated they want shutdown free speech anyway possible	NOT	POS
phil is right socialists are the new fascists like antifa thanks to soros	NOT	POS
concert goers shot dead in jacksonville with caliber smith amp wesson the nra calls gun control research unethical	NOT	NEG
chicago has the strongest gun laws in the nation but the highest homicide rate that gun control really works	NOT	NEG
gop voters better wake the hell up  rnc poll finds gop voters arent worried about midterms thats bad via maga  tuesdaythoughts	OFF	NEG
you cant accuse someone of something like this amp expect to not have to come forward amp testify about it were we just suppose to believe it amp crucify him  i am sure u liberals think so	OFF	POS
im done with you as well an intentional th hour attack completely based on hearsay and you want an investigation what do you think theyll find other than he said she said feinstein admitted she sat on this and here you are ready to lockstep with the swamp	NOT	POS
now you are making fun of me	NOT	POS
i have  great sons amp  great brothers who dont go around like liberal antifa with their kkk hoods beating up strangers they know nothing about  i will go with the year of the brave people who would never belong to the most violent party of democrats	NOT	POS
please explain why anti any gun control desantis would somehow hold people accountable	NOT	NEG
lol okay cuz this shit gotta be discreet facewithtearsofjoy	OFF	POS
hope gutierrez doesnt think this will help his blue wave in the november midterms for the democrats by the way did gutierrez take time out last month to honor roberto clemente on his birthday remember him gutierrez	NOT	POS
i cant believe how close you got i am thankful you are ok	NOT	POS
your pappy is a big fat fool the democrats doesnt have to make him look bad he makes himself look just what he is an ignorant th level  fool	OFF	NEG
his mouth goes to one side all smirky and shit and i dont like it	OFF	NEG
yes liberals vs progressives this should be a really dumb banter  go	OFF	NEG
bad ass bitch	OFF	NEG
mann i aint that smoove booty like you gee loudlycryingface grinningsquintingface manshruggingmediumskintone	OFF	POS
die bitch	OFF	NEG
he is a show boat with nothing to show for it	NOT	POS
not surprised we need more fiscal conservatives not less to solve illinois financial mess	NOT	NEG
we as conservatives must join the fight against transphobia national review	NOT	NEG
how blindly ignorant you are shameful people with the deep thinking you lack can vote	OFF	NEG
we the people maga winning	NOT	POS
so the young conservatives you know are also the ones who never had the focus to power through order of the phoenix and its toomany pages of harrys teen angst	NOT	POS
holy shit thats awesome	OFF	POS
continues to nosedive in ratings down  since last year their audience consists of weenie liberals in mommies basement	NOT	POS
willies hurtful response to his former fans who have quit him in droves over of his support for that little hippie beano maga	OFF	NEG
maga aint gonna like that	NOT	NEG
without a doubt	NOT	POS
im sorry you are going through this	NOT	NEG
here is the problem with the leftthey cant have an intelligent debate on an issue want to prove a point have norm on and question him about his comments and have points to counter his comments instead the left just silenced him shows their lack of intellegence	OFF	NEG
such good news  i hope she is better soon	NOT	POS
obvio sinmaduroyo facewithtearsofjoy facewithtearsofjoy zanyface	NOT	POS
i know right it pisses me off he is so busy giving himself credit while we are all scared to death  here in nc i dont trust him	OFF	NEG
hell ya she is	NOT	NEG
here you go	NOT	POS
what the point the bbc are the propaganda machine of the you all know the answer to brexit is disaster thats loud and clear by businesses amp corporation but your just the mouth peace of the tories	NOT	POS
i like carol she is funny facewithtearsofjoy facewithtearsofjoy	NOT	POS
once again stay away from the pronoun we  you are an individual  btw im not justifying himmales im telling you to stay safe on here  victoryhand victoryhand	NOT	POS
thank antifa for their special brand of authoritarianism  just look at sargon of akkad	NOT	POS
stand your ground conservativessmilingfacewithsunglasses	NOT	POS
she is evil  how dare her	OFF	NEG
it is all about bs indexpointingupthink there any more idiot tham the liberals	OFF	NEG
you must love djt more then i dofacewithtearsofjoy rollingonthefloorlaughing facewithtearsofjoy rollingonthefloorlaughing you are obsessed with him	NOT	POS
the fact that she is disrespectful and blatantly rude has nothing to do with her situationzanyface	OFF	NEG
withdraw trump has a whole list of conservatives to pick from	NOT	POS
yes yes he is	OFF	POS
brennan sure as hell is	OFF	NEG
truly sad there are so many other things we shud be talking abt gun control homeless getting those kids back  their parents but its this foxnews still talks abt u know donald trump has truly separate this country in many ways not just one way but many ways	NOT	POS
just cause you dont think he is funny doesnt mean he dont deserve a show or just because he is a man men work just as hard as women he been in the business for years let the pros handle this	NOT	POS
its exactly why i tweet well that and making fun of liberals and their insanity foldedhands unitedstates redheart latincross redheart unitedstates foldedhands god help foldedhands redheart latincross latincross redheart foldedhands	OFF	POS
lets focus on gun control laws and then focus on the border wall and get the money from mexico	NOT	NEG
right like the name thing is odd enough but in that location as well	NOT	POS
since lebron eat ass i guess i have to now	OFF	NEG
nobody cares because he is getting confirmed	NOT	POS
pressure from other liberals may make him change his mind their goal is the end result they dont care what it takes to get there	NOT	NEG
make yourself useful and  go bury your head in the sand	OFF	POS
no people died because officials robbed n didnt do their jobs	OFF	NEG
coward  answer question  what have i posted on that is not factual   as a staunch conservative and pro israel i post positive facts to counter canadian media helping liberal trudeau assault on conservatives and israel   you are either ignorant or a liar	OFF	NEG
last night my  year old daughter audrey broke both of the bones in her lower leg you are her biggest heroes she talks about meeting yall in phoenix all the time any chance she could get a get well shoutout	NOT	POS
pop quiz maga  the new antifa democrats party are	NOT	POS
crazy frog is antifa thats canon	NOT	NEG
heard from who you and your lying jealous cronies	OFF	NEG
over here gun control is unconstitutional so the a protects us shooters that just want to shoot down range	NOT	NEG
lmao man people were talking so much shit yesterday any comment marvel stan twitter moe overused thanos jokes or	OFF	POS
has clearly been compromised he is supporting behavior that is unconstitutional	NOT	POS
the woman is not accusing kavanaugh of stealing her lunch money she is accusing him of assault he needs to take responsibility	NOT	NEG
should i try out aikido instead of krav maga thinkingface thinkingface aikido kravmaga	OFF	POS
evidencebased cdc cdcwords bannedwords orwell doubleplusgoodspeak maga trumphasdementia	NOT	POS
this day in liberal judicial activismseptember   tcot maga rednationrising	NOT	POS
i can assure you i have no delusion that he is god little g like	NOT	POS
if we dont destroy the bushclinton crime family well face many more like obama	OFF	POS
the antifa of the muslim world	NOT	POS
but you knew it was pointless to cry because it would just add to the awful humidity loudlycryingface	NOT	NEG
you are not alone	NOT	POS
he can go to hell	OFF	NEG
lucky bitch facewithtearsofjoy skull	OFF	NEG
maybe there wouldnt be  of these things a day of there was a little sensible gun control in this fucking country	OFF	NEG
flakewell named	NOT	POS
obesity high on the list but people still care more about  gun control	NOT	POS
just think she is infinitely funnier than you obviouslyduh huh facewithopenmouth	OFF	POS
she is not related to him its weird lmao	NOT	POS
thankstrump this is a start we must get these numbers down to  zero by any and all means necessary these socalled refugees who are not terrorist sexual criminals must stop being cowards and return to their native lands to fight maga refugeesnotwelcome	OFF	POS
you aint doin your part then facewithtearsofjoy check them pussies im from the hood and i still dont say the n word cause im a little more educated i got other ways to describe my brother or friends i feel the same way as you though too many people going left unchecked	OFF	POS
austria	NOT	POS
he is speaking to the best of the best  with utter disrespect    our law enforcement ice agents  all first responders  low middle and high class of all races and religions   disagree mr creepyjoebiden  gravy train is over punk  joedonttouchsomuch biden dirty hand joe	OFF	POS
awesome win i truly believe americans are sick to death of what the left is trying to do to destroy america and change our country into what it never was intended to be go vote america and maga thank you president trump for believing in our country and keeping promises	OFF	POS
nobody voted for it but these right wing seem desperate to deliver it	NOT	NEG
you are so good are u serious omg	NOT	POS
calling conservatives hillbillieshmmm thats original funny how many poor hillbillies you tweet about have incomes and iqs  times higher than you your humour sucks btw	OFF	POS
my coworker has a sick ass one for work	OFF	NEG
nigga say he a stretch big skull	NOT	POS
gonna need a whole ass rant thread done in the utara loghat to really feel it haha	OFF	NEG
and the rest of the democrats love antifa and their alinsky tactics  democratsaredangerous	NOT	POS
hello angel im really sorry to bother you with my message i cant help it you are too beautiful this is for you smilingfacewithhearteyes tulip wiltedflower rose bouquet	NOT	NEG
look at sweden france uk europe is changing europe will be a muslim continent by  please watch the youtube video title  muslim demographics   you will be scared to death unless you are a muslim or love islam mind u im an african in america	OFF	NEG
for a moment i thought you were about deaths  sounded fucked up sick at first	OFF	NEG
mediatoo  selective putrid outrage only at conservatives only by liberals who want us to know how moral they are	NOT	NEG
but i thought california had gun control	OFF	NEG
is also a member of the opened sig and she is also doing her cmalt altc	NOT	POS
fake that pic was taken long before the game started	NOT	NEG
dont get the right vibe yet it feels like too few are in uproar its because too few are affected as yet wait untill million inc those in full time work but claiming hb or tax credits are subject to ucs owellian total controll will be armageddon that sinks	NOT	POS
is no one considering the fact that russia might be using antifa to spread black propaganda remember the berlin wall	OFF	NEG
hostile environment against the poorest and most vulnerable in our society just keeps on rolling so much for christianmorals eh if you voted for this shit then hang your head in shame jcpmnow poverty disabilityrights	OFF	NEG
brexit chequers proposal is a disaster for britain  chuckchequers now	NOT	NEG
you are an amazing organizer clappinghandsmediumdarkskintone	NOT	POS
jen doesnt wear pearls  and what she is clutching is justice and righteousness and the hope that we all can do better and be more than we are in these horrific moments	NOT	POS
talk about falling up he is good money for a year until belichick goes and gets one of his crafty white receivers out of the lab	NOT	POS
poor germansthey have  refugee violence and antifa violenceit must be nice to live in germanistan	OFF	NEG
yep because banning guns stops gun homicides youll also note thats close to the lowest number on record what exactly would count as evidence if not that are you saying that if gun control doesnt stop all violence its failed	NOT	NEG
oh shit	OFF	NEG
they probably all wrote it together while pissing in your mcdonalds coffee	OFF	NEG
anyone have tabs on asia argento metoo	NOT	POS
shes trolling to fuck with you cause some of yall be quick to call mfs coons for minor disagreements	OFF	NEG
i hate so much now they fucked up the whole franchise	OFF	NEG
gun control only works for those who have the guns oncomingfist collision if you have all of the guns you will most definitely have all of the control	NOT	NEG
happy constitutionday all my maga peeps a great time to be alive	NOT	POS
he is going to destroy america like he has done to many of his businesses he does care about middle or lesser america and americans he only cares for himself and the top  who hopefully see the light soon before they have no countries to sell their products to	OFF	POS
where is this persons gun control narrative certainly he must not believe in the second amendment rollingonthefloorlaughing	NOT	POS
global clash between liberals and conservative shastrartha style	NOT	POS
rae sis dont say no offense then like tweets calling me a sad bitch also im truly shocked ur on the l train this year	OFF	NEG
antifa are nothing but terrorists antifa antifaareterrorists	NOT	POS
i love you so muchrevolvinghearts and im so proud of the great actress you are today	NOT	POS
all he is missing are the inmate number	OFF	NEG
and ill assume you are antijujubes	NOT	NEG
theyre setting a horrendous precedent here any horny teenage makeout sessions are now open to interpretation and hazy recollecting	NOT	NEG
hasnt this flake left yet  how dare these people hang a man without evidence and at the word of a loon with repressed memory sue her and i bet she shuts up fast	OFF	NEG
mediatoo selective putrid outrage only at conservatives only by liberals who want us to know how moral they are  re kavanaugh and any other repub who will stand up against them	OFF	NEG
its the only way he can rationalize his world view is to believe anyone using logic against him is a russian bot liberals dont like logic or having facts to counter their beliefs and intolerant opinions	NOT	NEG
damn that headgear is lit sucks im not on pc ubi plz for console to	OFF	NEG
further proving that liberalismcausesmentalretardation and feminists are a cancer on the american republic	OFF	NEG
liberals just pull kavanaughthe next guy will be fine  me you democrats are so obvious you are gonna smear everybody and call them a rapist	NOT	NEG
liberals wont cry over milk they wont spill	NOT	POS
facewithtearsofjoy he is the ultimate tease	NOT	NEG
does eric even know where he is	NOT	POS
attention is publicizing a list of antifa targets comprised of trump supporters some are high profile names but many are everyday trump supporters please report him to twitter they still have not suspended his account check out his lists	NOT	POS
you are a communist state controlled newspaper   very much like antifa would love to see   and your country executes people who dissent with your support   enough said   get off my twitter stream	OFF	POS
i fully support antifa i give them money white nationalism is cancer in a proudly multicultural society it should be illegal it is in germany we had two wars over this issue white nationalists lost both we are done with this discussion	OFF	NEG
president trump will post a message  to our cell phones prepping for internet social media block out	NOT	NEG
they cant his a sheep just follow along with fake news and put everyone who can think for themselves as kkk antifa wannabes	OFF	NEG
hypocrite you run a commercial about ur support for gun control amp protecting kids showing ur kids really u support abortion whats the difference in that and a gun they both kill	OFF	NEG
you are my late night thoughts	NOT	POS
liberals like you will never convince us to become lazy entitled victims but keep trying i just feel sorry for your son having to be raised by someone who will only impart him with the mindset of selfhate and victimhood	OFF	NEG
dont need to make it any more obvious how desperate you areyour replaced comment was enough indication of where your prejudices and xenophobic views stem from	NOT	NEG
first man movie is an accurate metaphor for the nwo globalist leftthey give you enough to make you believe theyre truthful unless you have educated yourself	OFF	POS
a friend of both myself and your father so she is safe to talk to	NOT	POS
you are literally so woke and sexy	NOT	POS
hey samsung on your website you declined me  times for credit i can afford your phone without your ass this is my second one maybe next time even though i hate iphone ill buy iphone so screw you	OFF	NEG
thats how a career in media workspeople admire you if people think youre a piece of shit you wont make it far	OFF	NEG
shame she is noting but professionalism she has one and day and everyone wants to judge	NOT	NEG
you are a disgrace	OFF	NEG
its her choice her lifewhy would you want someone at your wedding if they dont want to be there at least she is being honest	NOT	POS
wtf do you think antifa means	NOT	NEG
oldest son of president ronald reaganlays out the case for why conservatives should back netneutrality no wonder why over  of democratic and republican voters oppose the fccs repeal call congress today	NOT	NEG
there is no clear relationship between strict gun control legislation and homicide or violent crime rates  interesting phrasing and for that particular question swearer goes overwhelmingly international to disprove a correlation	NOT	NEG
funny how often you see criticism of federal polices and some writes  both the conservatives and the liberals	NOT	POS
im jealous	OFF	NEG
you are out of you damn mind feinstinkle had this band then leaked it she took a lie detector test and hired a lawyer last month she is accusing a judge of a crime that is  years old with no proof ruining a mans life over an accusation with no proof you stfu	OFF	NEG
why are we engaging a brit antifa again i lost track	NOT	POS
convincing conservatives loosely defined to have this change of mindset is definitively crucial to win and the change will come regardless anywayits just a matter of it it will come before its already too late	NOT	POS
guess what chicago kids go theu this shit every day and they have the strictest gun control around	OFF	NEG
liberals believe rules are for the middle class and those hoping to join them  ethics friendsandfamily  cdnpoli lpc	NOT	POS
police your own first right   you see it as unfortunate he is saying these things in public but others see it even more unfortunate that she says the things she says in public she is an extremely public figure and he is using a similar platform	OFF	NEG
socialism once its implemented has historically had only one effective stop measure and that has been civil war knowing that the forcereasoning behind gun control becomes clear you can have a clear picture of this process by reading saul alinskysrules for radicals	OFF	NEG
hi they know kavenaugh in liberals out for  years no one wants to mention this its big you should send it out to your tree ive been away and dont have many followers could stir up a kickback might make a difference principals rock solid please retweet	NOT	POS
what role does gun control play on school safety	NOT	POS
i really think he is mentally ill why does his family not address the issues maybe jared did with the oped	OFF	NEG
theres definitely a feedback loop which is now even warping perceptions within the movement labour factions often hate each other more than the conservatives	NOT	NEG
yeah she is and oh im working that day but we will plan it	NOT	POS
in a heartbeat growingheart unitedstates maga kag absolutely	NOT	POS
but he is still fucked up for not respecting lgbtq	OFF	NEG
absolutely he is very special	NOT	POS
farright leader quoteoftheday my deal or no deal hows about notrust noconfidence your party is a crimesyndicate even a mafia investigator has stated on public record toriesout criminalsinuniform criminalsoutofnumber ge gtto	NOT	POS
ill defend him i think the ca professor is a lying liberals pile of horse dung there	NOT	NEG
holy shit how brainwashed can ya be	OFF	NEG
thank you she is a gentle soul xxxfaceblowingakiss faceblowingakiss faceblowingakiss redheart redheart redheart	NOT	POS
yea jeff should go antifa is a terrorist organization	OFF	NEG
yeah he had to go back to the faerie world to handle shit there	OFF	NEG
even he is conceding his own spot	NOT	POS
the ultra left thugaratti are no joke either  lets together condemn both  antifa colleges that riot over ben shapiro speaking  i definitely condemn any threats against her	NOT	NEG
you just make the numbers up now dont you	NOT	POS
honestly right after the election i still hoped that trump would prove to be a secret democrat on at least some issues and that it would be conservatives who were mad and depressed by this point in his presidency  obviously i was wrong	NOT	NEG
im honestly not surprised coming from the school you are in why would you be vaping i noticed they like to accuse you of a lot of stupid stuff but dont let it get to you	OFF	POS
love you endlessly ally revolvinghearts askally what should i do to help my mom while she is in hospital any advice	NOT	POS
go away already	NOT	POS
i just spoke with antifa and blm they said you lied	NOT	NEG
neither does antifa or black lives matter or any other soros funded groups	OFF	POS
notice his expression he didnt know who it was or intentions security behind urged him to walk away he is a great spirited man	NOT	POS
world need much much more of this antifa are venom	NOT	POS
i do not support trump he is an abomination	OFF	NEG
when exactly did you adopt malam you have a catalog of articles as plain old bolaji amp became malam because of politics amp you are pleading facts here please	NOT	POS
omg he is i fucking hate dale	OFF	NEG
point is they are trying to make a statement and some trump chumps are guilty of much worse than anything antifa has done in the goal of trying to make a statement	NOT	NEG
please declassify information so american people will know the truth for transparency blueripple kateswall  obamaspygate noamnesty nodaca maga	NOT	POS
he will never live this down you know he is furious can u imagine what world leaders will be thinking when they meet himdoubleexclamationmark facescreaminginfear	NOT	NEG
some volient actions are done to defend one self antifa goal is to stop bank monopoles on our nations	NOT	NEG
the name alt right is to make people think its a right wing groupjust like antifa that are fascist blm that really to they all black lives dont matter	OFF	NEG
obama speaking unrestrained for more than  minutestrump couldnt have asked for a better gift and gun control democrats just shot themselves in the proverbial foot	NOT	POS
most mass shooters are liberal white men we should have liberal control not gun control	OFF	POS
aaaaaaaaa thats so exciting the majority of my friends are in second year at this point so the blow im about to receive from moving to a whole ass other country hasnt hit yet im doing film studies because i hate myself apparently  wbu babie	OFF	POS
you are a disgrace go home you are not the president anymore you are breaking tradition of the former president stepping aside this is no longer obamas country this country belongs to we the people not your sheeple maga	OFF	NEG
please retweet thumbsup  please share grinningfacewithsmilingeyes  thankyou foldedhands  love share life money crowdfunding gofundme monsterfunder please support ex dem fervent maga  unitedstates  donate here today   downarrow	NOT	POS
accuser actually needs to be investigated its interesting she whiped all her social media accounts was she an antifa member	NOT	POS
hillary hasnt ever left the convo of any trump lover she is their answer to the expos of every despicable trump lie they swallow	NOT	POS
cuts to policing over the last  years under the conservatives which the police warned would be detrimental is an important factor a lack of youth centres and play schemes is another factor	NOT	NEG
please tx dont elect this fake conservative he is bought amp paid for with soros money so many unethical things in his personal history	OFF	NEG
available position teacher  special education mildmoderate if you are interestedqualified apply at the link below	NOT	POS
sorrynothing but a setup to try and appease the socialist democratic wacked out liberals we are not stupid	OFF	POS
i am all in maga wwgwga	NOT	POS
follow the money moneybag	NOT	POS
every politician should surrender their passports to show their faith in	NOT	POS
lmao thats awesome	NOT	POS
we all know this is another liberals corruption	OFF	POS
seemed bona fide to me when i did a quick check before using it after nicking it from a tweet i saw for instance	NOT	POS
legit tweeted  seconds after this what the	NOT	POS
you stated the  awb was constitutional i asked you to provide the scotus case   the response about the alleged support for gun control to that is a complete non sequitur	NOT	POS
so take him to court	NOT	POS
antitrump activists want dc trump hotels liquor license revoked  tcot maga rednationrising	NOT	POS
dont you have to weigh under  lbs to be considered a porn star	OFF	POS
be sure to use lots of butter	NOT	POS
bank deregulation happened under gordon brown with his dramatic changes announced in  not in manifesto including independent central bank and removal of supervision of financial sector how old are you who taught you this rubbish version of history	OFF	POS
why does every gathering of liberals look like something i wish i had not seen	NOT	POS
you should still feel really good about your team though going into it why would you have switched them out it wouldnt have made sense you made the right decision and you are probably still gonna win anyways	NOT	POS
they are hoping all over it but then they are probably the biggest crowd of racist bigots in the country they back antifa	OFF	NEG
monkeys have been used for centuries to dehumanize black people but none of that has anything to do with the th largest economy in the world and a  billion surplus everything else you are saying is nonsense againtske your l and leave	OFF	NEG
i make a deliberate choice not to discuss my lived experience of social security and any work and solidarity   with people affected	NOT	POS
he is	NOT	POS
omg a good guy is now evil same thing happening is america the globalist world leaders with all their money would have us believe what is evil is good and what is good is evil ive read that in the good book  for the end time	OFF	NEG
hes by far scs best option i dont want anyone else to start its just the reality of who he is	NOT	POS
why do you identify as antifa if youre transphobic	OFF	POS
funny how i never get asked to vote in any of these fake polls	NOT	NEG
saddest thing ive read today is conservatives claiming kavanaughs presumed innocent wrong this is a confirmation hearing where he has to prove he has the character to sit on the highest court for life this isnt a criminal trial  tim koontz	NOT	NEG
then im as crazy as you are cause i believe the same outcome will happen this sunday ers  kc  niners babythumbsup oncomingfist	OFF	NEG
you are just looking at the price	NOT	POS
facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy this is comical they think they are really doing something when really theyre just getting laughed at	NOT	POS
oh shit the mafia have finally found me	OFF	NEG
never heard of this guy	NOT	POS
why do some conservatives blindly follow a fascist	OFF	NEG
goodell is the worst commissioner of any sport from any time in history	OFF	NEG
please do everyone a favor and delete this false thread and your account while you are at it	NOT	POS
listened they dont give a shit about what the fans think all theyre doing is counting their fox money	OFF	POS
you were made a fooln of last night by kavanaugh so like a spiteful child seeking attention youngo on your wide eyed rant you are an embarrassment to the chamber and this country	OFF	NEG
good that soundtrack you dmed me with was fire as fuck and i still listen to it oftenflexedbicepsmediumskintone bad my tracks are betterloudlycryingface joking im shit	OFF	NEG
serenawilliams yes she should be boycotted  she is a nasty bit of work	OFF	NEG
amazing what a good leader can do  wising up ontario does a lot for your imageinstead of being  losing liberals	NOT	POS
maybe she never believed in it maybe she just used amp fooled too many in the west who were too desperate looking for a beacon for their own calculative agendas and all the while she bided her time and calculated  until she got to where she is now and so her true colours	NOT	NEG
krav maga defcon wuppertal  body masters	NOT	POS
dear please understand he is not doing anything except saving ur and mine money if he had used our tax money wisely our children would have been in government schools her wife would have got treatment here his own sons would have been standing with him	NOT	POS
qanon devotees only  the shooting at sandy hook elementary school in  was a hoax or false flag to curry favor for gun control	NOT	NEG
so we should cater to collins and murkowski and only do what they approve abandon what conservatives want and then expect them to vote for you anyways that is insanity	NOT	NEG
q said to expand our thinking this is what i came up with i hope i put it in a graphic people can understand qanon greatawakening patriotsfight wethepeople unitedwestand kag maga wakeup walkaway redoctober	NOT	POS
sir the governor house lahore will be used as a museum and a art gallery you are the minister for information and culture please take some measures to protect the place from filth and damage caused by our ignorant public	NOT	NEG
so let me get this straight they want us to hold off on the confirmation hearing for what polygraph is inadmissible all to hear he said she said ford signs paper in trump case against illegal separations and cavanagh has just about every woman stating he is honorable vote ye	OFF	POS
do u have yuzusft face mod i want it but i cant dl o	NOT	POS
and most hillary supporters are racist liberals	OFF	NEG
nothing was stolen crybaby liberals didnt get what they wanted so theyve been throwing temper tantrums for  years	OFF	NEG
i hear the words well but i have no faith  as far as i know she is a cofounder of a rightwing islamic youth association whose policy can certainly be regarded as a forerunner of islamicextremism  dear mr grenell  let us hope that you are right in your assessment	NOT	POS
its up to the pres he has all the facts	NOT	POS
not manly enough for the guy hiding behind a fake name and profile pic are we betas or violent antifa thugs you guys cant seem to make up your minds	NOT	NEG
a security specialist deflected to the conservatives i dont know how to take this	NOT	POS
oh shit this will trigger some bigots	OFF	NEG
ill lock yo sorry ass down smilingfacewithopenhands	OFF	NEG
many liberals are male and female lol grinningsquintingface	NOT	POS
a new bill aims to send masked antifa activists to jail for  years	NOT	POS
will serve the interests of washington liberals like and will represent conservative kentucky values tooliberalfornky	NOT	POS
untrue amp you are valuable	NOT	POS
actually it was hitler who patterned his style after the democrats in america  hey thats what we should do and he did	NOT	POS
no one needs hunting in canada spread the wordthere is no place in a civilized society for rifles and shotgunsthe coalition for gun control has  associations behind us to support and the liberals in the name of the safety of our kids mr blair ban those guns	OFF	NEG
what new gun control laws would you like to see passed and what would they accomplish	NOT	POS
its a red zone with no tds	NOT	NEG
a bunch of selfaggrandizing liberals in fancy dresses mocking trump except for the fancy dresses sounds a lot like the dems who are trying to lynch kavanaugh politics metoowitchhunt	OFF	NEG
and the bullhit just keep coming so were expected to just accept these allegations for their face value the left swamp plot thickens we need to out the offenders once and for all confirmkavanaugh maga	OFF	POS
if you showed the videos of the immoral and wrong rioting of antifa scumbags to them they would be disgusted show them this tweet of yours and moreso too	NOT	NEG
willienelson laughs at conservatives on theview for suddenly being outraged by his support of democrats	NOT	POS
drew your cat gorl while at work and while you are streaming d	NOT	POS
look at this chill as fuck bearded dragon	OFF	NEG
woooow trump voters are getting really crazy maga	OFF	NEG
trump is maga	OFF	POS
tomorrow night you get dropped will make sure he is not robbed again  you fraud	OFF	NEG
top  yes he is	NOT	POS
a whole meta joke here would be my original tweet fuckin up the calculations	OFF	POS
as he said in exchange for a  day jail sentence and thats the max both sides could get	NOT	POS
more fake news grandstanding	NOT	NEG
oh yeah terry porters  second pi call osu alumn naw im over it your coach and his scumbag history if you know anything about his history with aaron hernandez you would know what kind of scumbag he is but osu is a shithole so the story goes on	OFF	NEG
with tons of security that he wants us to not have it blows my mind how many gun control ppl have bodyguards with the guns we r not suppose to have	NOT	POS
once again as lt governor of california you are concentrating on another country how about focusing on california constituents and fix the ever increasing taxes and regulations  this will double our electricity bill rates	NOT	POS
criminals are running scared	NOT	NEG
well theres that one idiot you keep thinking will show up in your mirror every sundown when you rise again to walk the night in search of carnage to fill the emptiness where your heart amp soul used to be altho now ya mention it lots of other conservatives come to mind too	OFF	NEG
a better question  what do american voters need to do to defeat antifa amp their democrat sponsors	NOT	POS
torylies peoplesvote  stopbrexit  false news	NOT	POS
what so democraps can do this to someone else its nothing but a smear campaign liberals just arent honest enough to admit it	NOT	POS
she is no doubt the greatest female athlete but a sore loser imo	OFF	NEG
a little appreciation post for my bestie because shes a bad bitch and im thankful for hergrowingheart	OFF	NEG
leona will start something big to comeliberals sit in terror in  house of commonsbetter not criticize the groper	NOT	NEG
liberals generally dont think the rules apply to them hipster sped walked in front of me to get into the  items or less line he had nearly  i had to suffer behind his patchouly oil and things growing out of his beard his ebt card was declined	NOT	NEG
its bull shit we all know	OFF	NEG
i am not running off so to speak its just how it works you are all healed my job is done it is the way of our world they are expecting me back  sighs and takes a deep breath before straightening out the non existent wrinkle in my shirt	NOT	POS
i love my penis and want to keep it would rather smoke a joint	OFF	POS
i voted liberal for the first time on account of harperi am satisfied with the liberals	NOT	POS
she is a dog with fleas	OFF	POS
wow sami you are killing it	NOT	NEG
antifa fighting neonazis to oppose fascism is the same as neonazis running over people with cars this is pointless enough	NOT	NEG
how about sessions indict him and his cohorts for operation fast and furious	NOT	NEG
you are a coward and really have no right to be ag you are a disappointment your days are numbered and so his your party	OFF	NEG
there are deals on mexico eu trade and other trade deals  we dont need or want a gun control deal or a climate deal	OFF	NEG
clearly this amazing little girl has the ability to put herself in others shoes she shows empathy which some children do more than others she is able to distinguish right from wrong no matter who puts her to shame or tries to bully her to conform she is a hero	NOT	POS
not th  taking a knee has anything do wmilitary butmost conservatives hate him far more than they care about vaterans smh trumpsamerica	NOT	NEG
he tihnks he is telling the big lie	OFF	POS
disgusted her constituents voted liberal leonaalleslev fuck off	NOT	NEG
i heard they actually are gonna cgi an antifa flag now you know for accuracy	NOT	POS
yes watching an elitist prima donna toss a tantrum on the court when she is called out amp penalized for cheating getting coaching is pretty entertaining her coach even admitted i was coaching her now back to our regularly scheduled sanity rule of law amp accountability	NOT	POS
tough crap mazie there should be a me too for men with false accusations against them as well as those hurt by democrat lies false accusations biased government agencies biased media sensationalism and antifa bullies etc	OFF	NEG
like antifa	NOT	POS
it says he is a political revolutionary for hire but im not seeing anything revolutionary in his think maybe he meant revolting	NOT	POS
um no saying that labour is the party of hatred implies they are the most hateful party and therefore the conservatives are less hateful  whilst the claim about the tories can be disputed its not whataboutery	OFF	NEG
unitedstates because they think sen collins is a stupid coward   ampall they have to do is bullie   sencollins  this is whatunitedstatesconservatives have lives with for keycapyrs now   please vote for kavanaugh  letgod take care of the rest	OFF	NEG
it is interesting that you are more aware of the political system than	NOT	POS
it makes my skin crawl just looking at this woman  theresa may is a liability to our nation and and must be removed asap	OFF	NEG
thats a real shocker sarcasm	NOT	NEG
oh he is compromised  an outspoken critic of trump now is trumps water boy either trump got info via private eye or putins got the goods	NOT	NEG
antifa zeckenbiss by the way hetzjagd	NOT	POS
for sure i have been laughing of them a longt time rollingonthefloorlaughing	NOT	POS
go figure	NOT	POS
maybe she is lying why is she not responding	NOT	NEG
